Account Number,Explanation,Label,Gl Account String,Document Number,Document Type,Invoice_,Doc Number,Total,Invoice,address book name,business unit number,Fund,Jl Effective Date,GL Date,Credit,Debit,Sub Acct Ty Cd,Sub Acct Type,Sub Account,Batch Type,Batch Num,Batch Date,Line Number,Address Book #,Calculation 2,Vendor,Invoice Number,Invoice Date,Payment Date,Business Unit,Object Account,Object Account Descr,Je Category Name,Receipt Num,Business Unit Title (from Business Unit),Calculation,Created,JE Category Name_,last updated by
Journal: $9430.53 (20250117) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$9430.53,,,53902028,30216,1/17/2025,1/17/2025,,$9430.53,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6507,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $5898.68 (20241206) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,154422,Journal,,154422,$5898.68,,,53902028,30216,12/6/2024,12/6/2024,,$5898.68,R,4% Resolution,R240490,Journal Batch,BW Costing 121324 Main Payroll A 301415 7639834,12/6/2024,7315,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $64.98 (20241108) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,152050,Journal,,152050,$64.98,,,53902028,30216,11/8/2024,11/8/2024,,$64.98,R,4% Resolution,R240490,Journal Batch,BW Costing 111524 Main Payroll A 300643 7491596,11/8/2024,6619,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $163.28 (20250228) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,160275,Journal,,160275,$163.28,,,53902028,30216,2/28/2025,2/28/2025,,$163.28,R,4% Resolution,R240490,Journal Batch,BW Costing Main 03072025 Payroll A 304252 8003902,2/28/2025,7091,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $0.95 (20250523) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$0.95,,,53902028,30216,5/23/2025,5/23/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6553,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $5.25 (20250117) ,Journal Import Created,53902028.501106.0.R.R240490.30216.053.0.0.0,53902028.501106.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$5.25,,,53902028,30216,1/17/2025,1/17/2025,,$5.25,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6510,,"""""",,,,,53902028,Shift Differential Pay,Shift Differential Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $686.39 (20250509) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,165703,Journal,,165703,$686.39,,,53902028,30216,5/9/2025,5/9/2025,,$686.39,R,4% Resolution,R240490,Journal Batch,BW Costing 051625 Main Payroll A 306143 8310732,5/9/2025,6645,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $25.76 (20250523) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$25.76,,,53902028,30216,5/23/2025,5/23/2025,,$25.76,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6551,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $1148.81 (20250523) ,Journal Import Created,53902028.501177.0.R.R240490.30216.053.0.0.0,53902028.501177.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$1148.81,,,53902028,30216,5/23/2025,5/23/2025,,$1148.81,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6552,,"""""",,,,,53902028,Employer Pension,Employer Pension,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $1141.88 (20250131) ,Journal Import Created,53902028.501103.0.R.R240490.30216.053.0.0.0,53902028.501103.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$1141.88,,,53902028,30216,1/31/2025,1/31/2025,,$1141.88,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7088,,"""""",,,,,53902028,Holiday Pay,Holiday Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $10276.73 (20250606) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,168467,Journal,,168467,$10276.73,,,53902028,30216,6/6/2025,6/6/2025,,$10276.73,R,4% Resolution,R240490,Journal Batch,BW Costing 061325 Main Payroll A 306919 8467339,6/6/2025,7107,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $161.14 (20250314) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,161243,Journal,,161243,$161.14,,,53902028,30216,3/14/2025,3/14/2025,,$161.14,R,4% Resolution,R240490,Journal Batch,BW Costing 032125 Main Payroll A 304539 8064797,3/14/2025,6570,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $25.76 (20250509) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,165703,Journal,,165703,$25.76,,,53902028,30216,5/9/2025,5/9/2025,,$25.76,R,4% Resolution,R240490,Journal Batch,BW Costing 051625 Main Payroll A 306143 8310732,5/9/2025,6649,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $57.28 (20250131) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$57.28,,,53902028,30216,1/31/2025,1/31/2025,,$57.28,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7093,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $592.05 (20250117) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$592.05,,,53902028,30216,1/17/2025,1/17/2025,,$592.05,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6513,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $639.2 (20250117) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$639.20,,,53902028,30216,1/17/2025,1/17/2025,,$639.20,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6511,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $25.76 (20250606) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,168467,Journal,,168467,$25.76,,,53902028,30216,6/6/2025,6/6/2025,,$25.76,R,4% Resolution,R240490,Journal Batch,BW Costing 061325 Main Payroll A 306919 8467339,6/6/2025,7113,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $8284.48 (20250103) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,157009,Journal,,157009,$8284.48,,,53902028,30216,1/3/2025,1/3/2025,,$8284.48,R,4% Resolution,R240490,Journal Batch,BW Costing 011025 Main Payroll A 303189 7814566,1/3/2025,7456,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $2934.68 (20250103) ,Journal Import Created,53902028.501103.0.R.R240490.30216.053.0.0.0,53902028.501103.0.R.R240490.30216.053.0.0.0,157009,Journal,,157009,$2934.68,,,53902028,30216,1/3/2025,1/3/2025,,$2934.68,R,4% Resolution,R240490,Journal Batch,BW Costing 011025 Main Payroll A 303189 7814566,1/3/2025,7457,,"""""",,,,,53902028,Holiday Pay,Holiday Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $476.87 (20241206) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,154422,Journal,,154422,$476.87,,,53902028,30216,12/6/2024,12/6/2024,,$476.87,R,4% Resolution,R240490,Journal Batch,BW Costing 121324 Main Payroll A 301415 7639834,12/6/2024,7317,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $11041.61 (20250523) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$11041.61,,,53902028,30216,5/23/2025,5/23/2025,,$11041.61,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6545,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $11418.61 (20250411) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,163397,Journal,,163397,$11418.61,,,53902028,30216,4/11/2025,4/11/2025,,$11418.61,R,4% Resolution,R240490,Journal Batch,BW Costing 041825 Main Payroll A 305486 8189060,4/11/2025,6532,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $64.22 (20250425) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,164214,Journal,,164214,$64.22,,,53902028,30216,4/25/2025,4/25/2025,,$64.22,R,4% Resolution,R240490,Journal Batch,BW Costing 050225 Main Payroll A 305688 8230428,4/25/2025,6609,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $0.79 (20250103) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,157009,Journal,,157009,$0.79,,,53902028,30216,1/3/2025,1/3/2025,,$0.79,R,4% Resolution,R240490,Journal Batch,BW Costing 011025 Main Payroll A 303189 7814566,1/3/2025,7463,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $152.21 (20250131) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$152.21,,,53902028,30216,1/31/2025,1/31/2025,,$152.21,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7091,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $25.76 (20250620) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$25.76,,,53902028,30216,6/20/2025,6/20/2025,,$25.76,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6954,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $64.22 (20250620) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$64.22,,,53902028,30216,6/20/2025,6/20/2025,,$64.22,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6953,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $686.63 (20250328) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,162417,Journal,,162417,$686.63,,,53902028,30216,3/28/2025,3/28/2025,,$686.63,R,4% Resolution,R240490,Journal Batch,BW Costing 040425 Main Payroll A 305208 8127935,3/28/2025,6577,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $132.41 (20241122) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,153269,Journal,,153269,$132.41,,,53902028,30216,11/22/2024,11/22/2024,,$132.41,R,4% Resolution,R240490,Journal Batch,BW Costing 112724 Main Payroll A 301024 7572206,11/22/2024,7102,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $566.13 (20241122) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,153269,Journal,,153269,$566.13,,,53902028,30216,11/22/2024,11/22/2024,,$566.13,R,4% Resolution,R240490,Journal Batch,BW Costing 112724 Main Payroll A 301024 7572206,11/22/2024,7101,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $64.22 (20250523) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$64.22,,,53902028,30216,5/23/2025,5/23/2025,,$64.22,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6550,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $688.92 (20250314) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,161243,Journal,,161243,$688.92,,,53902028,30216,3/14/2025,3/14/2025,,$688.92,R,4% Resolution,R240490,Journal Batch,BW Costing 032125 Main Payroll A 304539 8064797,3/14/2025,6569,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $0.95 (20250314) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,161243,Journal,,161243,$0.95,,,53902028,30216,3/14/2025,3/14/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing 032125 Main Payroll A 304539 8064797,3/14/2025,6574,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,VIJAY.LAL@NASHVILLE.GOV
Journal: $511.23 (20250103) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,157009,Journal,,157009,$511.23,,,53902028,30216,1/3/2025,1/3/2025,,$511.23,R,4% Resolution,R240490,Journal Batch,BW Costing 011025 Main Payroll A 303189 7814566,1/3/2025,7460,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $650.85 (20250131) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$650.85,,,53902028,30216,1/31/2025,1/31/2025,,$650.85,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7090,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $25.76 (20250328) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,162417,Journal,,162417,$25.76,,,53902028,30216,3/28/2025,3/28/2025,,$25.76,R,4% Resolution,R240490,Journal Batch,BW Costing 040425 Main Payroll A 305208 8127935,3/28/2025,6581,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $682.93 (20250103) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,157009,Journal,,157009,$682.93,,,53902028,30216,1/3/2025,1/3/2025,,$682.93,R,4% Resolution,R240490,Journal Batch,BW Costing 011025 Main Payroll A 303189 7814566,1/3/2025,7458,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $686.42 (20250523) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$686.42,,,53902028,30216,5/23/2025,5/23/2025,,$686.42,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6547,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $9538.35 (20250131) ,Journal Import Created,53902028.501101.0.R.R240490.30216.053.0.0.0,53902028.501101.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$9538.35,,,53902028,30216,1/31/2025,1/31/2025,,$9538.35,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7087,,"""""",,,,,53902028,Regular Pay,Regular Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $0.95 (20250411) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,163397,Journal,,163397,$0.95,,,53902028,30216,4/11/2025,4/11/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing 041825 Main Payroll A 305486 8189060,4/11/2025,6538,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $2481.46 (20250620) ,Journal Import Created,53902028.501102.0.R.R240490.30216.053.0.0.0,53902028.501102.0.R.R240490.30216.053.0.0.0,168384,Journal,,168384,$2481.46,,,53902028,30216,6/20/2025,6/20/2025,,$2481.46,R,4% Resolution,R240490,Journal Batch,BW Costing 062725 Main Payroll A 306899 8463802,6/20/2025,6948,,"""""",,,,,53902028,Leave Pay,Leave Pay,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $18.64 (20250117) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,157397,Journal,,157397,$18.64,,,53902028,30216,1/17/2025,1/17/2025,,$18.64,R,4% Resolution,R240490,Journal Batch,BW Costing 012425 Main Payroll A 303314 7840208,1/17/2025,6515,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
